batch_id	date	action	value	Comments
9	 2024-05-29	plant_seeds		
9	 2024-06-27	inoculation	29	
9	 2024-07-10	wet_mass_measurement	13	
9	 2024-09-02	dry_mass_measurement	54	
10		condition	pgp	
10		scientist	nektaria, eva	
10		plant_chamber	aralab	
10		irrigation_frequency_	8 times every other day and twice daily	
10		final_irrigation_volume_(ml)	110 ml	
10		irrigation_volume/irrigation	1(5)_5(10)_4(15)	
10		irrigation_number	10	
10	 2024-09-04	plant_seeds		
10	 2024-10-04	inoculation	30	
10	 2024-10-24	wet_mass_measurement	20	
10	 2024-12-03	dry_mass_measurement	40	
11		condition	nacl	control + έχει ερθη σε επαφή με αλατονερο για μερικες ημερες 
11		scientist	nektaria, eva	
11		plant_chamber	aralab	
11		irrigation_frequency_	3 daily_1 every second/third/fourth day	
11		final_irrigation_volume_(ml)	110 ml	
11		irrigation_volume/irrigation		
11		irrigation_number		
11	 2024-09-04	plant_seeds		
11	 2024-10-14	inoculation	40	
11	 2024-11-01	wet_mass_measurement	18	
11	 2024-12-05	dry_mass_measurement	40	
12		condition	water_deficit	
12		scientist	nektaria	
12		plant_chamber	common aralab	
12		irrigation_frequency_	0	
12		final_irrigation_volume_(ml)	0	
12		irrigation_volume/irrigation	0	
12		irrigation_number	0	
12	 2024-09-04	plant_seeds		
12	 2024-10-16	inoculation	42	
12	 2024-10-23	wet_mass_measurement	7	
12	 2024-12-04	dry_mass_measurement	40	
13		condition	water_deficit	
13		scientist	nektaria, eva	
13		plant_chamber	common aralab	
13		irrigation_frequency_	0	
13		final_irrigation_volume_(ml)	0	
13		irrigation_volume/irrigation	0	
13		irrigation_number	0	
13	 2024-10-25	plant_seeds		
13	 2024-11-26	inoculation		
13	2024-12-09	wet_mass_measurement		
13	 2025-01-20	dry_mass_measurement		
14		condition	nacl	
14		scientist	nektaria, eva	
14		plant_chamber	aralab	
14		irrigation_frequency_	8 times every second day	
14		final_irrigation_volume_(ml)	190 ml	
14		irrigation_volume/irrigation	1(15)_1(10)_3(25)_3(30)	
14		irrigation_number	8	
14	 2024-10-25	plant_seeds		
14	 2024-11-26	inoculation	23	
14	 2024-12-18	wet_mass_measurement		
14	2025-01-29	dry_mass_measurement		
15		condition	pgp	
15		scientist	nektaria, eva	
15		plant_chamber	aralab	
15		irrigation_frequency_	3 times every second day and 2 every third day 	
15		final_irrigation_volume_(ml)	125	
15		irrigation_volume/irrigation	1(15)_2(25)_2(30)	
15		irrigation_number	5	
15	 2024-10-25	plant_seeds		
15	 2024-11-26	inoculation		
15	 2024-12-10	wet_mass_measurement		
15	 2025-01-20	dry_mass_measurement		
16		condition	pgp	
16		scientist	nektaria	
16		plant_chamber	aralab	
16		irrigation_frequency_		
16		final_irrigation_volume_(ml)		
16		irrigation_volume/irrigation		
16		irrigation_number		
16	 2025-01-28	plant_seeds		
16	 2025-02-27	inoculation		
16	 2025-03-15	wet_mass_measurement		
16	 2025-04-07	dry_mass_measurement		
17		condition	nacl	
17		scientist	nektaria	
17		plant_chamber	aralab	
17		irrigation_frequency_		
17		final_irrigation_volume_(ml)		
17		irrigation_volume/irrigation		
17		irrigation_number		
17	 2025-01-28	plant_seeds		
17	 2025-02-27	inoculation		
17	 2025-03-15	wet_mass_measurement		
17	 2025-04-07	dry_mass_measurement		
18		condition	water_deficit	
18		scientist	nektaria	
18		plant_chamber	aralab	
18		irrigation_frequency_		
18		final_irrigation_volume_(ml)		
18		irrigation_volume/irrigation		
18		irrigation_number		
18	 2025-01-28	plant_seeds		
18	 2025-02-27	inoculation		
18	 2025-03-15	wet_mass_measurement		
18	 2025-04-07	dry_mass_measurement		
19		condition	pgp	
19		scientist	nektaria	
19		plant_chamber	aralab	
19		irrigation_frequency_		
19		final_irrigation_volume_(ml)		
19		irrigation_volume/irrigation		
19		irrigation_number		
19	 2025-01-28	plant_seeds		
19	 2025-03-04	inoculation		
19	 2025-03-21	wet_mass_measurement		
19	 2025-04-07	dry_mass_measurement		
